Window,First_Date,First_Close,Last_Date,Last_Close,Max_Date,Max_Close,Max_When,Min_Date,Min_Close
2021-Q1-Feb,2021-02-01,558.5599975585938,2021-02-26,533.4600219726562,2021-02-11,594.469970703125,Middle,2021-02-25,528.7899780273438
2021-Q2-May,2021-05-03,490.32000732421875,2021-05-28,473.8800048828125,2021-05-03,490.32000732421875,Start,2021-05-17,454.3999938964844
2021-Q3-Aug,2021-08-02,584.6699829101562,2021-08-31,643.6400146484375,2021-08-31,643.6400146484375,End,2021-08-11,570.2000122070312
2021-Q4-Nov,2021-11-01,681.97998046875,2021-11-30,647.7000122070312,2021-11-04,701.72998046875,Middle,2021-11-23,636.9099731445312
2022-Q1-Feb,2022-02-01,586.5399780273438,2022-02-28,579.9199829101562,2022-02-09,613.969970703125,Middle,2022-02-23,524.7000122070312
2022-Q2-May,2022-05-02,484.5,2022-05-31,467.4700012207031,2022-05-04,499.4599914550781,Middle,2022-05-18,412.25
2022-Q3-Aug,2022-08-01,453.7699890136719,2022-08-31,434.6199951171875,2022-08-10,516.2000122070312,Middle,2022-08-31,434.6199951171875
2022-Q4-Nov,2022-11-01,418.55999755859375,2022-11-30,416.29998779296875,2022-11-15,419.4800109863281,Middle,2022-11-09,361.2699890136719
2023-Q1-Feb,2023-02-01,473.80999755859375,2023-02-28,432.1700134277344,2023-02-02,491.2699890136719,Middle,2023-02-24,425.5899963378906
2023-Q2-May,2023-05-01,450.4100036621094,2023-05-31,544.780029296875,2023-05-30,549.1199951171875,Middle,2023-05-04,430.510009765625
2023-Q3-Aug,2023-08-01,590.3900146484375,2023-08-31,588.8300170898438,2023-08-01,590.3900146484375,Start,2023-08-18,541.5
2023-Q4-Nov,2023-11-01,593.47998046875,2023-11-30,685.739990234375,2023-11-30,685.739990234375,End,2023-11-01,593.47998046875
2024-Q1-Feb,2024-02-01,771.0,2024-02-29,771.3400268554688,2024-02-09,812.9400024414062,Middle,2024-02-21,747.9400024414062
2024-Q2-May,2024-05-01,685.6099853515625,2024-05-31,656.9299926757812,2024-05-21,777.0499877929688,Middle,2024-05-30,643.2899780273438
2024-Q3-Aug,2024-08-01,811.3800048828125,2024-08-30,855.0,2024-08-30,855.0,End,2024-08-07,776.280029296875
2024-Q4-Nov,2024-11-01,943.4099731445312,2024-11-29,1049.43994140625,2024-11-26,1070.0699462890625,Middle,2024-11-01,943.4099731445312
2025-Q1-Feb,2025-02-03,1020.9400024414062,2025-02-28,929.760009765625,2025-02-05,1027.06005859375,Middle,2025-02-27,920.9600219726562
2025-Q2-May,2025-05-01,957.9500122070312,2025-05-30,1011.0900268554688,2025-05-16,1040.1800537109375,Middle,2025-05-01,957.9500122070312
2025-Q3-Aug,2025-08-01,914.3699951171875,2025-08-01,914.3699951171875,2025-08-01,914.3699951171875,Start,2025-08-01,914.3699951171875
